21,2016-0028,1,2016-03-02,10,Viamonte Y Av 9 De Julio,Avenida,Viamonte,9 De Julio Av.,Viamonte Y 9 De Julio Av.,comuna 1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,Peaton-Cargas,Cargas
22,2016-0029,1,2016-03-04,17,Av Cabildo Y Deheza,Avenida,Cabildo Av.,Deheza,Cabildo Av. Y Deheza,comuna 12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,Peaton-Pasajeros,Pasajeros
23,2016-0031,1,2016-03-08,12,Av Gral Paz Y Av Cnel Roca,Gral Paz,"Paz, Gral. Av.","Roca, Cnel. Av.","Paz, Gral. Av. Y Roca, Cnel. Av.",comuna 8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,Moto-Pasajeros,Pasajeros
24,2016-0034,1,2016-03-12,12,Av Amancio Alcorta Y Bonavena,Avenida,"Alcorta, Amancio Av.","Bonavena, Oscar Natalio","Alcorta, Amancio Av. Y Bonavena, Oscar Natalio",comuna 4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,Peaton-Pasajeros,Pasajeros
25,2016-0035,1,2016-03-13,6,Av Corrientes Y Av Callao,Avenida,Corrientes Av.,Callao Av.,Corrientes Av. Y Callao Av.,comuna 3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,Moto-Pasajeros,Pasajeros
26,2016-0036,1,2016-03-14,0,Herrera Y Aristobulo Del Valle,Calle,Herrera,"Valle, Aristobulo Del","Herrera Y Valle, Aristobulo Del",comuna 4,Point (107808.84957181 99174.17105826),-58.37813396,-34.63668504,Moto-Pasajeros,Pasajeros
27,2016-0037,1,2016-03-19,11,Av. Eva Peron Y Quirno,Avenida,Lafuente Av.,Quirno,Lafuente Av. Y Quirno,comuna 7,Point (100049.60313526 98412.21255444),-58.46275892,-34.64358293,Moto-Moto,Moto
28,2016-0038,1,2016-03-21,8,Av Gral Paz Colectora Y Zuviria,Gral Paz,"Paz, Gral. Av.",Zuviria,"Paz, Gral. Av. Y Zuviria",comuna 8,Point (96926.79887463 94490.76318635),-58.49683458,-34.67892743,Peaton-Pasajeros,Pasajeros
29,2016-0039,1,2016-03-23,1,Bartolome Mitre Y Av Pueyrredon,Avenida,"Mitre, Bartolome",Pueyrredon Av.,"Mitre, Bartolome Y Pueyrredon Av.",comuna 3,Point (105252.60308563 102264.96028996),-58.40603217,-34.6088396,Moto-Pasajeros,Pasajeros
30,2016-0041,2,2016-03-29,11,Av Directorio Y Rivera Indarte,Avenida,Directorio Av.,Rivera Indarte Av.,Directorio Av. Y Rivera Indarte Av.,comuna 7,Point (100232.38564985 99530.25843190),-58.4607655,-34.63350444,Moto-Cargas,Cargas
31,2016-0043,1,2016-03-30,18,Dellepiane Luis Tte Gral Colectora Y Murguiondo,Avenida,"Dellepiane, Luis, Tte. Gral.",Murguiondo,"Dellepiane, Luis, Tte. Gral. Y Murguiondo",comuna 8,Point (98623.04338909 94933.06478837),-58.47832463,-34.67494416,Peaton-Cargas,Cargas
32,2016-0044,1,2016-03-31,19,Av Jose Maria Moreno Y Balbastro,Avenida,"Moreno, Jose Maria Av.",Balbastro,"Moreno, Jose Maria Av. Y Balbastro",comuna 7,Point (102857.73817324 99148.76714504),-58.43213235,-34.63693953,Multiple,Multiple
33,2016-0045,1,2016-04-11,10,Av Gral Paz Y Av Del Libertador,Gral Paz,"Paz, Gral. Av.",Del Libertador Av.,"Paz, Gral. Av. Y Del Libertador Av.",comuna 13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,Moto-Sd,Sd
34,2016-0047,1,2016-04-15,5,Lima 1483,Calle,Lima,Sd,Lima 1483,comuna 1,Point (107412.19098904 100391.02557777),-58.38247061,-34.62571878,Peaton-Pasajeros,Pasajeros
35,2016-0048,1,2016-04-15,17,Av. Corrientes Y Av. Dorrego,Avenida,Corrientes Av.,Dorrego Av.,Corrientes Av. Y Dorrego Av.,comuna 15,Point (101440.29935254 104167.40204334),-58.44759966,-34.5917024,Peaton-Pasajeros,Pasajeros
36,2016-0049,1,2016-04-17,0,"Autopista 1 Sur Presidente Arturo Frondizi Km. 0,700",Autopista,Autopista 1 Sur Presidente Arturo Frondizi,Sd,Autopista 1 Sur Presidente Arturo Frondizi,comuna 4,Point (. .),-58.37714647568196,-34.63657525428238,Sd-Sd,Sd
37,2016-0050,1,2016-04-19,9,Timoteo Gordillo Y Av Fernandez De La Cruz,Avenida,"Gordillo, Timoteo","Fernandez De La Cruz, F., Gral. Av.","Gordillo, Timoteo Y Fernandez De La Cruz, F., Gral. Av.",comuna 8,Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,Peaton-Pasajeros,Pasajeros
38,2016-0051,1,2016-04-20,4,Av Amancio Alcorta Y Bonavena,Avenida,"Alcorta, Amancio Av.","Bonavena, Oscar Natalio","Alcorta, Amancio Av. Y Bonavena, Oscar Natalio",comuna 4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,Moto-Cargas,Cargas
39,2016-0052,1,2016-04-20,20,Autopista Lugones Pk 10000,Autopista,"Lugones, Leopoldo Av.",Sd,Sd,comuna 13,Point (. .),,,Moto-Sd,Sd
40,2016-0053,1,2016-04-22,9,Av Triunvirato Y Av Olazabal,Avenida,Triunvirato Av.,Olazabal Av.,Triunvirato Av. Y Olazabal Av.,comuna 12,Point (98073.80557770 105955.73972818),-58.4842918,-34.57558053,Peaton-Pasajeros,Pasajeros
41,2016-0054,1,2016-04-23,21,Au Luis Dellepiane Y Av Gral Paz,Autopista,Autopista Dellepiane Luis Tte. Gral.,"Paz, Gral. Av.","Autopista Dellepiane Luis Tte. Gral. Y Paz, Gral. Av.",comuna 8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,Moto-Moto,Moto
42,2016-0055,1,2016-04-25,20,Ramon Castilla Y Av Figueroa Alcorta,Avenida,"Castilla, Ramon, Mariscal","Figueroa Alcorta, Pres. Av.","Castilla, Ramon, Mariscal Y Figueroa Alcorta, Pres. Av.",comuna 14,Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,Peaton-Cargas,Cargas
43,2016-0056,1,2016-04-26,4,Av Luis Maria Campos 30,Avenida,"Campos, Luis M. Av.",Sd,"Campos, Luis M. Av. 30",comuna 14,Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,Moto-Objeto Fijo,Objeto Fijo
44,2016-0058,1,2016-05-04,14,Lima 1471,Calle,Lima,Sd,Lima 1471,comuna 1,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,Peaton-Moto,Moto
45,2016-0059,1,2016-05-08,16,Pasaje Ciudadela Y Lima Oeste,Calle,Ciudadela,Lima,Ciudadela Y Lima,comuna 1,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,Peaton-Pasajeros,Pasajeros
46,2016-0064,1,2016-05-14,18,Av Juan B Justo Y Av Carrasco,Avenida,"Justo, Juan B. Av.",Carrasco Av.,"Justo, Juan B. Av. Y Carrasco Av.",comuna 10,Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,Peaton-Pasajeros,Pasajeros
47,2016-0065,1,2016-05-20,14,Av Gaona Y Espinosa,Avenida,Gaona Av.,Espinosa,Gaona Av. Y Espinosa,comuna 6,Point (101010.75965434 102062.18185970),-58.45227946,-34.61068024,Peaton-Auto,Auto
48,2016-0067,1,2016-05-21,17,Av Lisandro De La Torre Y Saraza,Avenida,"De La Torre, Lisandro",Saraza,"De La Torre, Lisandro Y Saraza",comuna 8,Point (98052.13008621 94912.60873025),-58.48455411,-34.6751276,Moto-Pasajeros,Pasajeros
49,2016-0068,1,2016-05-22,22,Av Figueroa Alcorta Y Av Pueyrredon,Avenida,"Figueroa Alcorta, Pres. Av.",Pueyrredon Av.,"Figueroa Alcorta, Pres. Av. Y Pueyrredon Av.",comuna 2,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,Moto-Pasajeros,Pasajeros
